"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2017,7,"EV","ExpressJet Airlines Inc.","MKE","Milwaukee, WI: General Mitchell International",251.00,54.00,22.76,0.16,13.61,0.00,17.46,16.00,1.00,3675.00,1724.00,10.00,775.00,0.00,1166.00,
2017,7,"EV","ExpressJet Airlines Inc.","MLI","Moline, IL: Quad City International",123.00,49.00,22.43,0.00,12.94,0.00,13.63,0.00,1.00,2310.00,1399.00,0.00,377.00,0.00,534.00,
2017,7,"EV","ExpressJet Airlines Inc.","MLU","Monroe, LA: Monroe Regional",166.00,31.00,14.42,1.00,4.60,0.00,10.98,2.00,0.00,2206.00,920.00,24.00,147.00,0.00,1115.00,
2017,7,"EV","ExpressJet Airlines Inc.","MOB","Mobile, AL: Mobile Regional",284.00,59.00,24.61,2.15,12.62,0.00,19.62,4.00,0.00,3026.00,1350.00,195.00,573.00,0.00,908.00,
2017,7,"EV","ExpressJet Airlines Inc.","MSN","Madison, WI: Dane County Regional-Truax Field",118.00,26.00,9.32,0.00,9.56,0.00,7.12,8.00,0.00,1380.00,611.00,0.00,403.00,0.00,366.00,
2017,7,"EV","ExpressJet Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",130.00,25.00,8.88,0.00,4.57,0.00,11.55,4.00,1.00,2919.00,1825.00,0.00,174.00,0.00,920.00,
2017,7,"EV","ExpressJet Airlines Inc.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",9.00,1.00,0.18,0.00,0.00,0.00,0.82,0.00,0.00,207.00,37.00,0.00,0.00,0.00,170.00,
2017,7,"EV","ExpressJet Airlines Inc.","MTJ","Montrose/Delta, CO: Montrose Regional",31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","MYR","Myrtle Beach, SC: Myrtle Beach International",7.00,2.00,1.47,0.00,0.28,0.00,0.25,2.00,0.00,308.00,200.00,0.00,54.00,0.00,54.00,
2017,7,"EV","ExpressJet Airlines Inc.","OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",67.00,22.00,12.72,0.00,5.09,0.00,4.19,0.00,0.00,2565.00,2170.00,0.00,147.00,0.00,248.00,
2017,7,"EV","ExpressJet Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",37.00,9.00,4.15,0.00,2.47,0.00,2.38,1.00,0.00,431.00,111.00,0.00,71.00,0.00,249.00,
2017,7,"EV","ExpressJet Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",122.00,28.00,9.29,1.97,8.49,0.00,8.25,4.00,0.00,1925.00,1011.00,117.00,259.00,0.00,538.00,
2017,7,"EV","ExpressJet Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",2121.00,413.00,56.00,5.86,228.35,0.00,122.79,79.00,11.00,37714.00,4564.00,459.00,23989.00,0.00,8702.00,
2017,7,"EV","ExpressJet Airlines Inc.","ORF","Norfolk, VA: Norfolk International",109.00,16.00,7.28,0.00,2.50,0.00,6.22,8.00,0.00,826.00,415.00,0.00,79.00,0.00,332.00,
2017,7,"EV","ExpressJet Airlines Inc.","PHF","Newport News/Williamsburg, VA: Newport News/Williamsburg International",63.00,8.00,5.18,0.00,0.57,0.00,2.25,0.00,0.00,448.00,351.00,0.00,15.00,0.00,82.00,
2017,7,"EV","ExpressJet Airlines Inc.","PIA","Peoria, IL: General Downing - Peoria International",29.00,9.00,0.45,0.00,3.35,0.00,5.20,1.00,0.00,1245.00,15.00,0.00,1014.00,0.00,216.00,
2017,7,"EV","ExpressJet Airlines Inc.","PIT","Pittsburgh, PA: Pittsburgh International",105.00,33.00,11.92,0.00,5.56,0.00,15.52,14.00,0.00,3109.00,1090.00,0.00,570.00,0.00,1449.00,
2017,7,"EV","ExpressJet Airlines Inc.","PNS","Pensacola, FL: Pensacola International",134.00,11.00,4.15,0.04,3.92,0.00,2.89,1.00,1.00,577.00,143.00,10.00,120.00,0.00,304.00,
2017,7,"EV","ExpressJet Airlines Inc.","PVD","Providence, RI: Theodore Francis Green State",53.00,14.00,4.56,0.00,2.82,0.00,6.62,2.00,0.00,1474.00,362.00,0.00,838.00,0.00,274.00,
2017,7,"EV","ExpressJet Airlines Inc.","PWM","Portland, ME: Portland International Jetport",202.00,52.00,20.99,0.19,15.16,0.00,15.66,10.00,0.00,3680.00,1723.00,13.00,680.00,0.00,1264.00,
2017,7,"EV","ExpressJet Airlines Inc.","RAP","Rapid City, SD: Rapid City Regional",9.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",62.00,10.00,3.31,0.00,2.52,0.00,4.17,6.00,1.00,1595.00,521.00,0.00,259.00,0.00,815.00,
2017,7,"EV","ExpressJet Airlines Inc.","RIC","Richmond, VA: Richmond International",376.00,111.00,36.36,0.00,29.67,0.00,44.97,17.00,1.00,12106.00,4573.00,0.00,1333.00,0.00,6200.00,
2017,7,"EV","ExpressJet Airlines Inc.","ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",112.00,16.00,5.80,0.27,3.91,0.00,6.02,1.00,0.00,850.00,354.00,14.00,151.00,0.00,331.00,
2017,7,"EV","ExpressJet Airlines Inc.","ROC","Rochester, NY: Greater Rochester International",129.00,34.00,9.93,0.00,4.99,0.00,19.08,19.00,0.00,2742.00,1375.00,0.00,292.00,0.00,1075.00,
2017,7,"EV","ExpressJet Airlines Inc.","RST","Rochester, MN: Rochester International",170.00,43.00,18.06,0.15,5.82,0.00,18.96,5.00,0.00,2722.00,1143.00,3.00,239.00,0.00,1337.00,
2017,7,"EV","ExpressJet Airlines Inc.","RSW","Fort Myers, FL: Southwest Florida International",5.00,1.00,0.93,0.00,0.07,0.00,0.00,0.00,0.00,54.00,50.00,0.00,4.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","SAF","Santa Fe, NM: Santa Fe Municipal",98.00,19.00,10.93,0.00,3.72,0.00,4.35,2.00,0.00,994.00,676.00,0.00,134.00,0.00,184.00,
2017,7,"EV","ExpressJet Airlines Inc.","SAT","San Antonio, TX: San Antonio International",8.00,1.00,0.00,0.00,0.19,0.00,0.81,0.00,0.00,27.00,0.00,0.00,5.00,0.00,22.00,
2017,7,"EV","ExpressJet Airlines Inc.","SAV","Savannah, GA: Savannah/Hilton Head International",190.00,52.00,17.61,1.17,10.29,0.00,22.93,3.00,0.00,4892.00,2304.00,197.00,491.00,0.00,1900.00,
2017,7,"EV","ExpressJet Airlines Inc.","SBN","South Bend, IN: South Bend International",31.00,11.00,1.92,0.00,2.52,0.00,6.56,4.00,0.00,1176.00,122.00,0.00,699.00,0.00,355.00,
2017,7,"EV","ExpressJet Airlines Inc.","SDF","Louisville, KY: Louisville International-Standiford Field",84.00,11.00,3.54,0.00,5.55,0.00,1.91,1.00,0.00,522.00,228.00,0.00,185.00,0.00,109.00,
2017,7,"EV","ExpressJet Airlines Inc.","SGF","Springfield, MO: Springfield-Branson National",222.00,62.00,21.97,0.00,25.01,0.00,15.01,2.00,0.00,2677.00,1028.00,0.00,746.00,0.00,903.00,
2017,7,"EV","ExpressJet Airlines Inc.","SHV","Shreveport, LA: Shreveport Regional",385.00,80.00,39.75,1.77,10.41,0.00,28.07,5.00,0.00,6381.00,4038.00,142.00,365.00,0.00,1836.00,
2017,7,"EV","ExpressJet Airlines Inc.","SJT","San Angelo, TX: San Angelo Regional/Mathis Field",93.00,11.00,5.54,0.00,1.46,0.00,4.00,0.00,0.00,1176.00,850.00,0.00,77.00,0.00,249.00,
2017,7,"EV","ExpressJet Airlines Inc.","STL","St. Louis, MO: St Louis Lambert International",239.00,51.00,18.01,1.00,12.37,0.00,19.63,9.00,0.00,4487.00,1440.00,45.00,813.00,0.00,2189.00,
2017,7,"EV","ExpressJet Airlines Inc.","SYR","Syracuse, NY: Syracuse Hancock International",4.00,2.00,0.18,0.00,0.82,0.00,1.00,1.00,0.00,77.00,4.00,0.00,18.00,0.00,55.00,
2017,7,"EV","ExpressJet Airlines Inc.","TLH","Tallahassee, FL: Tallahassee International",71.00,13.00,11.14,0.00,0.59,0.00,1.28,0.00,0.00,779.00,712.00,0.00,30.00,0.00,37.00,
2017,7,"EV","ExpressJet Airlines Inc.","TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",20.00,2.00,0.76,0.00,1.24,0.00,0.00,0.00,0.00,95.00,60.00,0.00,35.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","TUL","Tulsa, OK: Tulsa International",262.00,53.00,27.64,0.00,10.39,0.00,14.96,3.00,0.00,3317.00,1925.00,0.00,449.00,0.00,943.00,
2017,7,"EV","ExpressJet Airlines Inc.","TUS","Tucson, AZ: Tucson International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","TVC","Traverse City, MI: Cherry Capital",74.00,14.00,5.09,0.00,5.77,0.00,3.15,2.00,0.00,490.00,150.00,0.00,188.00,0.00,152.00,
2017,7,"EV","ExpressJet Airlines Inc.","TYS","Knoxville, TN: McGhee Tyson",323.00,96.00,32.34,3.82,32.65,0.00,27.19,5.00,0.00,6186.00,1965.00,570.00,1360.00,0.00,2291.00,
2017,7,"EV","ExpressJet Airlines Inc.","VLD","Valdosta, GA: Valdosta Regional",85.00,22.00,6.43,0.00,3.94,0.00,11.64,0.00,0.00,1457.00,401.00,0.00,93.00,0.00,963.00,
2017,7,"EV","ExpressJet Airlines Inc.","VPS","Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",197.00,33.00,14.57,1.85,9.17,0.00,7.41,2.00,0.00,1772.00,856.00,156.00,248.00,0.00,512.00,
2017,7,"EV","ExpressJet Airlines Inc.","XNA","Fayetteville, AR: Northwest Arkansas Regional",204.00,47.00,23.42,1.00,6.77,0.00,15.80,2.00,0.00,5261.00,3247.00,305.00,481.00,0.00,1228.00,
2017,7,"F9","Frontier Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",372.00,85.00,20.01,0.85,33.06,0.00,31.08,1.00,0.00,6370.00,1196.00,22.00,1349.00,0.00,3803.00,
